Week start (Monday)	Week end (Sunday)	Working days	Reason
2014-03-10	2014-03-16	5	
2014-03-03	2014-03-09	5	
2014-02-24	2014-03-02	5	
2014-02-17	2014-02-23	5	
2014-02-10	2014-02-16	5	
2014-02-03	2014-02-09	5	
2014-01-27	2014-02-02	5	
2014-01-20	2014-01-26	5	
2014-01-13	2014-01-19	5	
2014-01-06	2014-01-12	5	
2013-12-30	2014-01-05	4	New Year's Day
2013-12-23	2013-12-29	3	Christmas and Boxing Day
2013-12-16	2013-12-22	5	
2013-12-09	2013-12-15	5	
2013-12-02	2013-12-08	5	
2013-11-25	2013-12-01	5	
2013-11-18	2013-11-24	5	
2013-11-11	2013-11-17	5	
2013-11-04	2013-11-10	5	
2013-10-28	2013-11-03	5	
2013-10-21	2013-10-27	5	
2013-10-14	2013-10-20	5	
2013-10-07	2013-10-13	5	
2013-09-30	2013-10-06	5	
2013-09-23	2013-09-29	5	
2013-09-16	2013-09-22	5	
2013-09-09	2013-09-15	5	
2013-09-02	2013-09-08	5	
2013-08-26	2013-09-01	4	Summer Bank Holiday
2013-08-19	2013-08-25	5	
2013-08-12	2013-08-18	5	
2013-08-05	2013-08-11	5	
2013-07-29	2013-08-04	5	
2013-07-22	2013-07-28	5	
2013-07-15	2013-07-21	5	
2013-07-08	2013-07-14	5	
2013-07-01	2013-07-07	5	
2013-06-24	2013-06-30	5	
2013-06-17	2013-06-23	5	
2013-06-10	2013-06-16	5	
2013-06-03	2013-06-09	5	
2013-05-27	2013-06-02	4	Spring bank holiday
2013-05-20	2013-05-26	5	
2013-05-13	2013-05-19	5	
2013-05-06	2013-05-12	4	Early May bank holiday
2013-04-29	2013-05-05	5	
2013-04-22	2013-04-28	5	
2013-04-15	2013-04-21	5	
2013-04-08	2013-04-14	5	
2013-04-01	2013-04-07	4	Easter Monday
2013-03-25	2013-03-31	4	Good Friday
2013-03-18	2013-03-24	5	
2013-03-11	2013-03-17	5	
2013-03-04	2013-03-10	5	
2013-02-25	2013-03-03	5	
2013-02-18	2013-02-24	5	
2013-02-11	2013-02-17	5	
2013-02-04	2013-02-10	5	
2013-01-28	2013-02-03	5	
2013-01-21	2013-01-27	5	
2013-01-14	2013-01-20	5	
2013-01-07	2013-01-13	5	
2012-12-31	2013-01-06	4	New Year's Day
2012-12-24	2012-12-30	3	Christmas and Boxing Day
2012-12-17	2012-12-23	5	
2012-12-10	2012-12-16	5	
2012-12-03	2012-12-09	5	
2012-11-26	2012-12-02	5	
2012-11-19	2012-11-25	5	
2012-11-12	2012-11-18	5	
2012-11-05	2012-11-11	5	
2012-10-29	2012-11-04	5	
2012-10-22	2012-10-28	5	
2012-10-15	2012-10-21	5	
2012-10-08	2012-10-14	5	
2012-10-01	2012-10-07	5	
2012-09-24	2012-09-30	5	
2012-09-17	2012-09-23	5	
2012-09-10	2012-09-16	5	
2012-09-03	2012-09-09	5	
2012-08-27	2012-09-02	4	Summer Bank Holiday
2012-08-20	2012-08-26	5	
2012-08-13	2012-08-19	5	
2012-08-06	2012-08-12	5	
2012-07-30	2012-08-05	5	
2012-07-23	2012-07-29	5	
2012-07-16	2012-07-22	5	
2012-07-09	2012-07-15	5	
2012-07-02	2012-07-08	5	
2012-06-25	2012-07-01	5	
2012-06-18	2012-06-24	5	
2012-06-11	2012-06-17	5	
2012-06-04	2012-06-10	3	Spring bank holiday and Diamond Jubilee
2012-05-28	2012-06-03	5	
2012-05-21	2012-05-27	5	
2012-05-14	2012-05-20	5	
2012-05-07	2012-05-13	4	Early May bank holiday
2012-04-30	2012-05-06	5	
2012-04-23	2012-04-29	5	
2012-04-16	2012-04-22	5	
2012-04-09	2012-04-15	4	Easter Monday
2012-04-02	2012-04-08	4	Good Friday
2012-03-26	2012-04-01	5	
2012-03-19	2012-03-25	5	
2012-03-12	2012-03-18	5	
2012-03-05	2012-03-11	5	
2012-02-27	2012-03-04	5	
2012-02-20	2012-02-26	5	
2012-02-13	2012-02-19	5	
2012-02-06	2012-02-12	5	
2012-01-30	2012-02-05	5	
2012-01-23	2012-01-29	5	
2012-01-16	2012-01-22	5	
2012-01-09	2012-01-15	5	
2012-01-02	2012-01-08	4	New Year's Day (substitute)
2011-12-26	2012-01-01	3	Christmas (substitute) and Boxing Day
2011-12-19	2011-12-25	5	
2011-12-12	2011-12-18	5	
2011-12-05	2011-12-11	5	
2011-11-28	2011-12-04	5	
2011-11-21	2011-11-27	5	
2011-11-14	2011-11-20	5	
2011-11-07	2011-11-13	5	
2011-10-31	2011-11-06	5	
2011-10-24	2011-10-30	5	
2011-10-17	2011-10-23	5	
2011-10-10	2011-10-16	5	
2011-10-03	2011-10-09	5	
2011-09-26	2011-10-02	5	
2011-09-19	2011-09-25	5	
2011-09-12	2011-09-18	5	
2011-09-05	2011-09-11	5	
2011-08-29	2011-09-04	4	Summer Bank Holiday
2011-08-22	2011-08-28	5	
2011-08-15	2011-08-21	5	
2011-08-08	2011-08-14	5	
2011-08-01	2011-08-07	5	
2011-07-25	2011-07-31	5	
2011-07-18	2011-07-24	5	
